  # Astr silicate from Weingartner & Draine (2001), extended to X-rays by V.Z.
  # lamda [mu]         n - 1              k
  3.72086825e-01  6.88915337e-01  2.97480828e-02
  3.73726151e-01  6.88569450e-01  2.97572708e-02
  3.75372700e-01  6.88228536e-01  2.97664184e-02
  3.77026502e-01  6.87892431e-01  2.97756011e-02
  3.78687591e-01  6.87561054e-01  2.97847732e-02
  3.80355999e-01  6.87234238e-01  2.97939537e-02
  3.82031757e-01  6.86912152e-01  2.98035346e-02
  3.83714898e-01  6.86595025e-01  2.98130735e-02
  3.85405454e-01  6.86282634e-01  2.98222450e-02
  3.87103459e-01  6.85974619e-01  2.98310270e-02
  3.88808945e-01  6.85670930e-01  2.98397704e-02
  3.90521944e-01  6.85371561e-01  2.98482520e-02
  3.92242491e-01  6.85076462e-01  2.98566598e-02
  3.93970618e-01  6.84785734e-01  2.98648642e-02
  3.95706359e-01  6.84499104e-01  2.98725152e-02
  3.97449747e-01  6.84216570e-01  2.98801326e-02
  3.99200816e-01  6.83938073e-01  2.98870580e-02
  4.00959600e-01  6.83663172e-01  2.98935544e-02
  4.02726132e-01  6.83391952e-01  2.99000213e-02
  4.04500448e-01  6.83124438e-01  2.99061566e-02
  4.06282580e-01  6.82860663e-01  2.99122651e-02
  4.08072565e-01  6.82600700e-01  2.99179263e-02
  4.09870435e-01  6.82344081e-01  2.99228966e-02
  4.11676227e-01  6.82090688e-01  2.99278450e-02
  4.13489974e-01  6.81840630e-01  2.99325254e-02
  4.15311713e-01  6.81593825e-01  2.99371101e-02
  4.17141477e-01  6.81350378e-01  2.99416250e-02
  4.18979303e-01  6.81110198e-01  2.99458350e-02
  4.20825226e-01  6.80873350e-01  2.99500265e-02
  4.22679282e-01  6.80639775e-01  2.99536202e-02
  4.24541506e-01  6.80408988e-01  2.99566806e-02
  4.26411935e-01  6.80180977e-01  2.99597275e-02
  4.28290604e-01  6.79955742e-01  2.99624422e-02
  4.30177551e-01  6.79733117e-01  2.99651137e-02
  4.32072811e-01  6.79513132e-01  2.99677819e-02
  4.33976421e-01  6.79295737e-01  2.99704591e-02
  4.35888418e-01  6.79080663e-01  2.99731246e-02
  4.37808838e-01  6.78868092e-01  2.99765741e-02
  4.39737720e-01  6.78658415e-01  2.99803983e-02
  4.41675099e-01  6.78451195e-01  2.99842912e-02
  4.43621015e-01  6.78246965e-01  2.99896580e-02
  4.45575503e-01  6.78046334e-01  2.99950012e-02
  4.47538603e-01  6.77848820e-01  3.00001756e-02
  4.49510351e-01  6.77654137e-01  3.00051403e-02
  4.51490787e-01  6.77462152e-01  3.00100833e-02
  4.53479948e-01  6.77272888e-01  3.00150587e-02
  4.55477873e-01  6.77086367e-01  3.00200246e-02
  4.57484600e-01  6.76902575e-01  3.00249047e-02
  4.59500168e-01  6.76721305e-01  3.00295016e-02
  4.61524616e-01  6.76542344e-01  3.00340783e-02
  4.63557984e-01  6.76365796e-01  3.00388828e-02
  4.65600310e-01  6.76191833e-01  3.00438463e-02
  4.67651634e-01  6.76020429e-01  3.00487881e-02
  4.69711996e-01  6.75851536e-01  3.00537733e-02
  4.71781435e-01  6.75685181e-01  3.00587396e-02
  4.73859992e-01  6.75521322e-01  3.00635704e-02
  4.75947706e-01  6.75359773e-01  3.00681609e-02
  4.78044618e-01  6.75200430e-01  3.00727313e-02
  4.80150769e-01  6.75043351e-01  3.00773217e-02
  4.82266199e-01  6.74888577e-01  3.00819073e-02
  4.84390949e-01  6.74736150e-01  3.00864381e-02
  4.86525060e-01  6.74585900e-01  3.00906487e-02
  4.88668574e-01  6.74437725e-01  3.00948408e-02
  4.90821531e-01  6.74291646e-01  3.00988542e-02
  4.92983974e-01  6.74147486e-01  3.01026790e-02
  4.95155944e-01  6.74005089e-01  3.01064870e-02
  4.97337483e-01  6.73864638e-01  3.01106451e-02
  4.99528634e-01  6.73726304e-01  3.01148422e-02
  5.01729438e-01  6.73589987e-01  3.01190338e-02
  5.03939939e-01  6.73455653e-01  3.01232470e-02
  5.06160178e-01  6.73323269e-01  3.01274417e-02
  5.08390199e-01  6.73192801e-01  3.01316470e-02
  5.10630046e-01  6.73064234e-01  3.01358510e-02
  5.12879760e-01  6.72937524e-01  3.01400370e-02
  5.15139386e-01  6.72812656e-01  3.01442511e-02
  5.17408968e-01  6.72689610e-01  3.01484467e-02
  5.19688548e-01  6.72568339e-01  3.01526423e-02
  5.21978172e-01  6.72448816e-01  3.01568485e-02
  5.24277884e-01  6.72330928e-01  3.01610363e-02
  5.26587727e-01  6.72214772e-01  3.01655431e-02
  5.28907748e-01  6.72100538e-01  3.01701312e-02
  5.31237989e-01  6.71988200e-01  3.01746473e-02
  5.33578497e-01  6.71877515e-01  3.01788578e-02
  5.35929317e-01  6.71768257e-01  3.01830498e-02
  5.38290494e-01  6.71660523e-01  3.01874542e-02
  5.40662074e-01  6.71554488e-01  3.01920408e-02
  5.43044102e-01  6.71450144e-01  3.01966072e-02
  5.45436625e-01  6.71347418e-01  3.02012030e-02
  5.47839689e-01  6.71246283e-01  3.02057833e-02
  5.50253341e-01  6.71146685e-01  3.02103597e-02
  5.52677626e-01  6.71048600e-01  3.02149546e-02
  5.55112592e-01  6.70951926e-01  3.02195292e-02
  5.57558286e-01  6.70856727e-01  3.02243762e-02
  5.60014755e-01  6.70763182e-01  3.02293407e-02
  5.62482047e-01  6.70671312e-01  3.02342648e-02
  5.64960209e-01  6.70580876e-01  3.02388631e-02
  5.67449289e-01  6.70491635e-01  3.02434413e-02
  5.69949335e-01  6.70403654e-01  3.02481895e-02
  5.72460396e-01  6.70317097e-01  3.02531592e-02
  5.74982520e-01  6.70231902e-01  3.02581072e-02
  5.77515757e-01  6.70148122e-01  3.02633981e-02
  5.80060154e-01  6.70065946e-01  3.02687462e-02
  5.82615760e-01  6.69985318e-01  3.02740054e-02
  5.85182627e-01  6.69906018e-01  3.02789829e-02
  5.87760802e-01  6.69827895e-01  3.02839385e-02
  5.90350336e-01  6.69750989e-01  3.02889048e-02
  5.92951279e-01  6.69675292e-01  3.02938725e-02
  5.95563682e-01  6.69600668e-01  3.02988185e-02
  5.98187593e-01  6.69527274e-01  3.03041659e-02
  6.00823065e-01  6.69455271e-01  3.03095061e-02
  6.03470149e-01  6.69384526e-01  3.03148439e-02
  6.06128895e-01  6.69315012e-01  3.03201985e-02
  6.08799354e-01  6.69246691e-01  3.03255297e-02
  6.11481579e-01  6.69179536e-01  3.03308878e-02
  6.14175622e-01  6.69113542e-01  3.03362417e-02
  6.16881533e-01  6.69048661e-01  3.03415780e-02
  6.19599366e-01  6.68984869e-01  3.03469401e-02
  6.22329174e-01  6.68922092e-01  3.03522786e-02
  6.25071008e-01  6.68860332e-01  3.03578084e-02
  6.27824922e-01  6.68799769e-01  3.03635381e-02
  6.30590969e-01  6.68740486e-01  3.03692427e-02
  6.33369203e-01  6.68682260e-01  3.03746561e-02
  6.36159677e-01  6.68624862e-01  3.03800049e-02
  6.38962445e-01  6.68568269e-01  3.03854407e-02
  6.41777561e-01  6.68512664e-01  3.03911829e-02
  6.44605080e-01  6.68458120e-01  3.03968999e-02
  6.47445057e-01  6.68404505e-01  3.04026313e-02
  6.50297546e-01  6.68351748e-01  3.04083605e-02
  6.53162602e-01  6.68299580e-01  3.04140742e-02
  6.56040281e-01  6.68248307e-01  3.04205907e-02
  6.58930638e-01  6.68198145e-01  3.04270786e-02
  6.61833729e-01  6.68148847e-01  3.04338686e-02
  6.64749611e-01  6.68100707e-01  3.04411372e-02
  6.67678340e-01  6.68053790e-01  3.04483739e-02
  6.70619972e-01  6.68007911e-01  3.04556424e-02
  6.73574564e-01  6.67962998e-01  3.04628975e-02
  6.76542173e-01  6.67918919e-01  3.04701934e-02
  6.79522857e-01  6.67875836e-01  3.04778508e-02
  6.82516672e-01  6.67833852e-01  3.04854746e-02
  6.85523678e-01  6.67792832e-01  3.04931124e-02
  6.88543933e-01  6.67752758e-01  3.05007577e-02
  6.91577493e-01  6.67713569e-01  3.05083694e-02
  6.94624419e-01  6.67675242e-01  3.05160297e-02
  6.97684769e-01  6.67637731e-01  3.05236638e-02
  7.00758602e-01  6.67600963e-01  3.05314030e-02
  7.03845977e-01  6.67565113e-01  3.05394335e-02
  7.06946955e-01  6.67530239e-01  3.05474288e-02
  7.10061595e-01  6.67496244e-01  3.05554607e-02
  7.13189958e-01  6.67463128e-01  3.05634914e-02
  7.16332103e-01  6.67430837e-01  3.05714915e-02
  7.19488091e-01  6.67399363e-01  3.05795294e-02
  7.22657985e-01  6.67368697e-01  3.05875320e-02
  7.25841844e-01  6.67338801e-01  3.05955467e-02
  7.29039730e-01  6.67309693e-01  3.06035865e-02
  7.32251706e-01  6.67281350e-01  3.06115911e-02
  7.35477832e-01  6.67253758e-01  3.06196263e-02
  7.38718173e-01  6.67226923e-01  3.06276403e-02
  7.41972789e-01  6.67200806e-01  3.06356395e-02
  7.45241744e-01  6.67175437e-01  3.06436832e-02
  7.48525102e-01  6.67150875e-01  3.06516915e-02
  7.51822926e-01  6.67127025e-01  3.06594886e-02
  7.55135278e-01  6.67103706e-01  3.06671271e-02
  7.58462225e-01  6.67080766e-01  3.06747320e-02
  7.61803829e-01  6.67058436e-01  3.06827670e-02
  7.65160155e-01  6.67036916e-01  3.06907837e-02
  7.68531268e-01  6.67016081e-01  3.06987946e-02
  7.71917234e-01  6.66995938e-01  3.07068255e-02
  7.75318118e-01  6.66976534e-01  3.07148213e-02
  7.78733985e-01  6.66957750e-01  3.07225723e-02
  7.82164901e-01  6.66939404e-01  3.07302106e-02
  7.85610934e-01  6.66921414e-01  3.07378665e-02
  7.89072148e-01  6.66904023e-01  3.07459121e-02
  7.92548612e-01  6.66887445e-01  3.07539225e-02
  7.96040393e-01  6.66871527e-01  3.07617532e-02
  7.99547557e-01  6.66856097e-01  3.07693990e-02
  8.03070174e-01  6.66841081e-01  3.07770113e-02
  8.06608310e-01  6.66826543e-01  3.07846711e-02
  8.10162034e-01  6.66812509e-01  3.07923094e-02
  8.13731415e-01  6.66798946e-01  3.07999359e-02
  8.17316522e-01  6.66785874e-01  3.08075931e-02
  8.20917424e-01  6.66773286e-01  3.08152167e-02
  8.24534191e-01  6.66761173e-01  3.08228620e-02
  8.28166892e-01  6.66749569e-01  3.08305055e-02
