  Water ice, from Warren (1984), extended to X-rays by V. Zubko
  # lamda [mu]         n - 1              k
  2.32447107e-03  -3.62262000e-04  1.74258000e-05
  2.35687423e-03  -4.28421000e-04  1.83051000e-05
  2.38972888e-03  -4.74188000e-04  1.92288000e-05
  2.42303947e-03  -5.12077000e-04  2.01999000e-05
  2.45681526e-03  -5.45659000e-04  2.12202000e-05
  2.49106107e-03  -5.76728000e-04  2.22915000e-05
  2.52578683e-03  -6.06275000e-04  2.34164000e-05
  2.56099246e-03  -6.34904000e-04  2.45985000e-05
  2.59669363e-03  -6.62961000e-04  2.58406000e-05
  2.63289045e-03  -6.90637000e-04  2.71459000e-05
  2.66958820e-03  -7.18326000e-04  2.85166000e-05
  2.70680397e-03  -7.46152000e-04  2.99567000e-05
  2.74453194e-03  -7.74219000e-04  3.14703000e-05
  2.78278996e-03  -8.02613000e-04  3.30616000e-05
  2.82158450e-03  -8.31408000e-04  3.47346000e-05
  2.86091549e-03  -8.60668000e-04  3.64926000e-05
  2.90079582e-03  -8.90382000e-04  3.83392000e-05
  2.94123221e-03  -9.20679000e-04  4.02791000e-05
  2.98223152e-03  -9.51606000e-04  4.23171000e-05
  3.02380071e-03  -9.83207000e-04  4.44590000e-05
  3.06594688e-03  -1.01552000e-03  4.67093000e-05
  3.10868504e-03  -1.04857000e-03  4.90721000e-05
  3.15202324e-03  -1.08242000e-03  5.15529000e-05
  3.19596148e-03  -1.11704000e-03  5.41557000e-05
  3.24050752e-03  -1.15251000e-03  5.68664000e-05
  3.28567799e-03  -1.18888000e-03  5.97009000e-05
  3.33148176e-03  -1.22620000e-03  6.26734000e-05
  3.37791878e-03  -1.26449000e-03  6.57940000e-05
  3.42500710e-03  -1.30379000e-03  6.90702000e-05
  3.47274670e-03  -1.34414000e-03  7.25094000e-05
  3.52115672e-03  -1.38555000e-03  7.61191000e-05
  3.57023719e-03  -1.42805000e-03  7.99095000e-05
  3.62000846e-03  -1.47171000e-03  8.38885000e-05
  3.67047067e-03  -1.51656000e-03  8.80654000e-05
  3.72163434e-03  -1.56263000e-03  9.24505000e-05
  3.77351035e-03  -1.60997000e-03  9.70540000e-05
  3.82611000e-03  -1.65861000e-03  1.01887000e-04
  3.87944503e-03  -1.70859000e-03  1.06961000e-04
  3.93351520e-03  -1.75994000e-03  1.12288000e-04
  3.98834497e-03  -1.81272000e-03  1.17880000e-04
  4.04394760e-03  -1.86698000e-03  1.23749000e-04
  4.10030979e-03  -1.92274000e-03  1.29910000e-04
  4.15747156e-03  -1.98007000e-03  1.36379000e-04
  4.21543361e-03  -2.03901000e-03  1.43170000e-04
  4.27418105e-03  -2.09960000e-03  1.50300000e-04
  4.33377200e-03  -2.16187000e-03  1.57783000e-04
  4.39417696e-03  -2.22589000e-03  1.65636000e-04
  4.45542600e-03  -2.29169000e-03  1.73858000e-04
  4.51753524e-03  -2.35936000e-03  1.82451000e-04
  4.58050472e-03  -2.42895000e-03  1.91428000e-04
  4.64435084e-03  -2.50057000e-03  2.00821000e-04
  4.70909084e-03  -2.57427000e-03  2.10674000e-04
  4.77474290e-03  -2.65010000e-03  2.21011000e-04
  4.84128841e-03  -2.72814000e-03  2.31856000e-04
  4.90878322e-03  -2.80848000e-03  2.43232000e-04
  4.97720867e-03  -2.89120000e-03  2.55167000e-04
  5.04658385e-03  -2.97641000e-03  2.67688000e-04
  5.11692894e-03  -3.06436000e-03  2.80824000e-04
  5.18826528e-03  -3.15539000e-03  2.94765000e-04
  5.26059322e-03  -3.24945000e-03  3.10550000e-04
  5.33391191e-03  -3.34517000e-03  3.27542000e-04
  5.40826639e-03  -3.44338000e-03  3.45477000e-04
  5.48365724e-03  -3.54419000e-03  3.64395000e-04
  5.56008384e-03  -3.64765000e-03  3.84348000e-04
  5.63759547e-03  -3.75386000e-03  4.05394000e-04
  5.71619319e-03  -3.86289000e-03  4.27594000e-04
  5.79584977e-03  -3.97480000e-03  4.51010000e-04
  5.87664489e-03  -4.08959000e-03  4.75703000e-04
  5.95858031e-03  -4.20737000e-03  5.01753000e-04
  6.04162713e-03  -4.32818000e-03  5.29229000e-04
  6.12584252e-03  -4.45205000e-03  5.58209000e-04
  6.21122674e-03  -4.57902000e-03  5.88779000e-04
  6.29781060e-03  -4.70910000e-03  6.21021000e-04
  6.38559422e-03  -4.84228000e-03  6.55028000e-04
  6.47461004e-03  -4.97844000e-03  6.90895000e-04
  6.56485805e-03  -5.11744000e-03  7.28735000e-04
  6.65637248e-03  -5.25906000e-03  7.68639000e-04
  6.74915330e-03  -5.40251000e-03  8.10731000e-04
  6.84323669e-03  -5.54695000e-03  8.52546000e-04
  6.93862267e-03  -5.69395000e-03  8.92115000e-04
  7.03534959e-03  -5.84794000e-03  9.31391000e-04
  7.13341761e-03  -6.00748000e-03  9.72405000e-04
  7.23286745e-03  -6.17206000e-03  1.01522000e-03
  7.33369958e-03  -6.34150000e-03  1.05993000e-03
  7.43591279e-03  -6.51585000e-03  1.10661000e-03
  7.53955000e-03  -6.69517000e-03  1.15533000e-03
  7.64465736e-03  -6.87955000e-03  1.20621000e-03
  7.75123620e-03  -7.06909000e-03  1.25933000e-03
  7.85928618e-03  -7.26388000e-03  1.31479000e-03
  7.96880516e-03  -7.46403000e-03  1.37270000e-03
  8.07989431e-03  -7.66969000e-03  1.43315000e-03
  8.19255642e-03  -7.88097000e-03  1.49628000e-03
  8.30673705e-03  -8.09800000e-03  1.56220000e-03
  8.42254515e-03  -8.32093000e-03  1.63102000e-03
  8.53992406e-03  -8.54992000e-03  1.70288000e-03
  8.65898994e-03  -8.78511000e-03  1.77791000e-03
  8.77968403e-03  -9.02665000e-03  1.85624000e-03
  8.90206651e-03  -9.27479000e-03  1.93805000e-03
  9.02613690e-03  -9.52977000e-03  2.02346000e-03
  9.15196013e-03  -9.79206000e-03  2.11264000e-03
  9.27953718e-03  -1.00618000e-02  2.20669000e-03
  9.40886700e-03  -1.03384000e-02  2.30637000e-03
  9.54001967e-03  -1.06213000e-02  2.41059000e-03
  9.67307123e-03  -1.09111000e-02  2.51952000e-03
  9.80787158e-03  -1.12080000e-02  2.63341000e-03
  9.94456994e-03  -1.15122000e-02  2.75243000e-03
  1.00832487e-02  -1.18238000e-02  2.87682000e-03
  1.02237448e-02  -1.21430000e-02  3.00683000e-03
  1.03663068e-02  -1.24699000e-02  3.14272000e-03
  1.05107648e-02  -1.28047000e-02  3.28477000e-03
  1.06572927e-02  -1.31473000e-02  3.43325000e-03
  1.08058943e-02  -1.34978000e-02  3.58843000e-03
  1.09564742e-02  -1.38563000e-02  3.75065000e-03
  1.11092220e-02  -1.42229000e-02  3.92022000e-03
  1.12640404e-02  -1.45975000e-02  4.09746000e-03
  1.14211330e-02  -1.49802000e-02  4.28274000e-03
  1.15802925e-02  -1.53708000e-02  4.47642000e-03
  1.17417292e-02  -1.57692000e-02  4.67883000e-03
  1.19053784e-02  -1.61745000e-02  4.89046000e-03
  1.20713293e-02  -1.65864000e-02  5.11162000e-03
  1.22396064e-02  -1.70035000e-02  5.34285000e-03
  1.24102097e-02  -1.74227000e-02  5.58455000e-03
  1.25832124e-02  -1.78414000e-02  5.82765000e-03
  1.27586150e-02  -1.82648000e-02  6.06304000e-03
  1.29364556e-02  -1.87107000e-02  6.30002000e-03
  1.31167875e-02  -1.91725000e-02  6.54631000e-03
  1.32996245e-02  -1.96480000e-02  6.80229000e-03
  1.34850231e-02  -2.01367000e-02  7.06832000e-03
  1.36729978e-02  -2.06382000e-02  7.34482000e-03
  1.38635930e-02  -2.11527000e-02  7.63219000e-03
  1.40568388e-02  -2.16801000e-02  7.93088000e-03
  1.42527822e-02  -2.22205000e-02  8.24133000e-03
  1.44514558e-02  -2.27741000e-02  8.56401000e-03
  1.46529096e-02  -2.33409000e-02  8.89938000e-03
  1.48571606e-02  -2.39211000e-02  9.24796000e-03
